название,категория,ссылка,файл,путь_к_файлу
a person standing on a roof at sunset,Film,https://images.unsplash.com/photo-1715082097650-e8ec9b8d70dd?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,photo-1715082097650-e8ec9b8d70dd.jpg,/Users/johnlennon/RusttmGDrive/Python/GeekBrains/DataParse/seminar6/unsplash_spider/unsplash_spider/images/photo-1715082097650-e8ec9b8d70dd.jpg
a black and white photo of a tall building,Film,https://images.unsplash.com/photo-1715113027659-4c6f28c967c7?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,photo-1715113027659-4c6f28c967c7.jpg,/Users/johnlennon/RusttmGDrive/Python/GeekBrains/DataParse/seminar6/unsplash_spider/unsplash_spider/images/photo-1715113027659-4c6f28c967c7.jpg
a skateboarder doing a trick on a half pipe,Textures & Patterns,https://images.unsplash.com/photo-1714390000391-322d3dec6147?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,photo-1714390000391-322d3dec6147.jpg,/Users/johnlennon/RusttmGDrive/Python/GeekBrains/DataParse/seminar6/unsplash_spider/unsplash_spider/images/photo-1714390000391-322d3dec6147.jpg
a black and white photo of a sign on a brick wall,Film,https://images.unsplash.com/photo-1715113021004-fb128618ea7d?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,photo-1715113021004-fb128618ea7d.jpg,/Users/johnlennon/RusttmGDrive/Python/GeekBrains/DataParse/seminar6/unsplash_spider/unsplash_spider/images/photo-1715113021004-fb128618ea7d.jpg
a man standing in front of a blue wall,Fashion & Beauty,https://images.unsplash.com/photo-1700585560439-3ec0178adade?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,photo-1700585560439-3ec0178adade.jpg,/Users/johnlennon/RusttmGDrive/Python/GeekBrains/DataParse/seminar6/unsplash_spider/unsplash_spider/images/photo-1700585560439-3ec0178adade.jpg
a black and white photo of a louis vuitton store,Fashion & Beauty,https://images.unsplash.com/photo-1630272266969-d9a5f415f5e9?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,photo-1630272266969-d9a5f415f5e9.jpg,/Users/johnlennon/RusttmGDrive/Python/GeekBrains/DataParse/seminar6/unsplash_spider/unsplash_spider/images/photo-1630272266969-d9a5f415f5e9.jpg
a black and white photo of a frozen lake,Film,https://images.unsplash.com/photo-1715112845275-9bf2f802d12c?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,photo-1715112845275-9bf2f802d12c.jpg,/Users/johnlennon/RusttmGDrive/Python/GeekBrains/DataParse/seminar6/unsplash_spider/unsplash_spider/images/photo-1715112845275-9bf2f802d12c.jpg
a black and white photo of a train station,Film,https://images.unsplash.com/photo-1715112965458-5a686fc21d3b?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,photo-1715112965458-5a686fc21d3b.jpg,/Users/johnlennon/RusttmGDrive/Python/GeekBrains/DataParse/seminar6/unsplash_spider/unsplash_spider/images/photo-1715112965458-5a686fc21d3b.jpg
a black and white photo of the ocean and rocks,Film,https://images.unsplash.com/photo-1715112845275-2b317c71b985?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,photo-1715112845275-2b317c71b985.jpg,/Users/johnlennon/RusttmGDrive/Python/GeekBrains/DataParse/seminar6/unsplash_spider/unsplash_spider/images/photo-1715112845275-2b317c71b985.jpg
a picture of a rock out in the water,Film,https://images.unsplash.com/photo-1714972255731-4ed2d9a35a63?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,photo-1714972255731-4ed2d9a35a63.jpg,/Users/johnlennon/RusttmGDrive/Python/GeekBrains/DataParse/seminar6/unsplash_spider/unsplash_spider/images/photo-1714972255731-4ed2d9a35a63.jpg
a building with a clock on the front of it,Film,https://images.unsplash.com/photo-1715249990977-47696097f679?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,photo-1715249990977-47696097f679.jpg,/Users/johnlennon/RusttmGDrive/Python/GeekBrains/DataParse/seminar6/unsplash_spider/unsplash_spider/images/photo-1715249990977-47696097f679.jpg
